Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
105,2022,2022-April,,0.585623815,29.36637191,50.15,0.16,0.68,0.61,1.39,4/9/2022,14:32:00,-17.52007479,-149.9206248,239.16,851.54,2480.72,723.28,7029.89,Papeto'ai,SW,Reef crest,Hauru,0.00990429719808575,0.023294136559287,0.0100619625134437,0.0128556840765865,0.0286231155680079,0.00306841610864178,0.782685888475517,1.10599837938465,1.0797954876229,1.78826841249804
106,2021,2021-May,,0.54,28.83,53.39,0.12,0.91,0.42,0.28,5/19/2021,10:52:00,-17.51944682,-149.9170567,619.01,476.06,2401.58,371.72,6910.87,Papeto'ai,SW,Mid lagoon,Hauru,0.011656865,0.043161939,0.007555653,0.016621242,0.024997712,0.0250378,2.199842038,0.408277501,0.660636857,1.705456595
106,2022,2022-April,,0.599936196,26.94852484,44.92,0.19,0.82,0.53,1.54,4/9/2022,13:10:00,-17.51944682,-149.9170567,619.01,476.06,2401.58,371.72,6910.87,Papeto'ai,SW,Mid lagoon,Hauru,0.00943054585157429,0.0309845370724602,0.00764075643059153,0.012482866069774,0.0348152432674256,0.0214396271858808,0.612099528095782,0.580658508954053,0.873706077161658,2.3794794558264
107,2021,2021-May,,0.63,27.46,43.39,0.08,1.35,0.38,0.12,5/19/2021,11:29:00,-17.51885715,-149.9132726,1021.92,82.89,2359.12,110.06,6877.48,Papeto'ai,SW,Fringing reef,Hauru,0.01148495,0.030451939,0.008292831,0.012625119,0.025971204,0.058789478,1.522413697,0.259654095,0.598400923,1.567087179
107,2022,2022-April,,0.6725326,26.56145375,39.49,0.17,0.88,0.6,1.25,4/9/2022,13:36:00,-17.51885715,-149.9132726,1021.92,82.89,2359.12,110.06,6877.48,Papeto'ai,SW,Fringing reef,Hauru,0.00765303846905883,0.021024925359456,0.00574150158458867,0.0101742455113815,0.095960161208428,0.0734345973104221,0.564317184813937,0.377657058643856,1.42520322800128,1.94804131350236
108,2021,2021-May,,0.61,29.21,47.85,0.08,0.83,0.26,0.63,5/19/2021,12:54:00,-17.51272805,-149.9225916,258.82,785.58,3303.05,909.58,6321.8,Papeto'ai,SW,Reef crest,Hauru,0.010313261,0.047408771,0.007074558,0.011423154,0.02959153,0.024576014,1.614680899,0.353539818,0.669301396,1.650753206
108,2022,2022-April,,0.578788906,29.98425178,51.81,0.16,0.68,0.27,1.13,4/8/2022,13:15:00,-17.51272805,-149.9225916,258.82,785.58,3303.05,909.58,6321.8,Papeto'ai,SW,Reef crest,Hauru,0.0052204754763522,0.0192342295335141,0.00421164682633121,0.00663894178798618,0.0149562371743372,0,0.634385262114002,0.787540863184538,0.904309596460215,1.43194657009457
109,2021,2021-May,,0.57,30.1,53.06,0.1,0.88,0.3,0.76,5/19/2021,13:34:00,-17.51138762,-149.919454,610.92,455.41,3331.71,695.42,6059.83,Papeto'ai,SW,Mid lagoon,Hauru,0.010354481,0.045109508,0.008032093,0.012202855,0.024666503,0.003691352,1.519262113,0.483963559,0.622418324,1.731343283
109,2022,2022-April,,0.623564107,29.1372198,46.73,0.15,0.64,0.32,1.81,4/8/2022,12:45:00,-17.51138762,-149.919454,610.92,455.41,3331.71,695.42,6059.83,Papeto'ai,SW,Mid lagoon,Hauru,0.00679541014948674,0.0237774365761352,0.00644083539461691,0.00932562715429276,0.0266893518537097,0.0105890605608605,0.690659758110968,0.809764786926368,0.978325114245401,2.08653786802286
11,2021,2021-May,,0.67,26.25,39.29,0.2,4.7,0.19,0.32,5/20/2021,11:31:00,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.015909847,0.016987508,0.013026502,0.018080567,0.025355074,0.024931221,1.387983322,0.969554959,0.769531457,1.496675388
11,2022,2022-April,,0.702871093,26.53570267,37.75,0.15,1.05,0.38,1.03,4/12/2022,09:00:00,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.0157990383707601,0.0567370576275483,0.0176865574002545,0.0165876646330131,0.0438613986395004,0,1.06624758768358,1.05551224127478,0.95957441797732,1.87750839462066
110,2021,2021-May,,0.59,26.85,45.14,0.14,0.97,0.41,0.21,5/19/2021,14:40:00,-17.51055999,-149.9159157,999.08,71.88,3315.84,573.06,5907.78,Papeto'ai,SW,Fringing reef,Hauru,0.014015072,0.032989691,0.011891097,0.015511519,0.038091634,0.048115272,1.304464898,0.433257537,0.67136255,1.614038308
110,2022,2022-April,,0.62182883,29.04143612,46.7,0.15,0.64,0.35,1.28,4/8/2022,12:00:00,-17.51055999,-149.9159157,999.08,71.88,3315.84,573.06,5907.78,Papeto'ai,SW,Fringing reef,Hauru,0.00792209514078041,0.0256676649159149,0.00889605506993421,0.00961945764968495,0.0144908941127319,0.00294735663161578,0.9247979869453,1.15176113564911,1.02928706949966,1.80591262104451
111,2021,2021-May,,0.51,30.03,59.14,0.14,0.75,0.3,0.18,5/19/2021,15:13:00,-17.50318299,-149.9240371,263.63,861.28,3764.12,1683.01,5522.33,Papeto'ai,SW,Reef crest,Hauru,0.009384775,0.055257508,0.007225063,0.011006851,0.025897102,0.020543512,1.523426368,0.404239281,0.757383298,2.129748263
111,2022,2022-April,,0.463522893,29.44354162,63.52,0.12,0.66,0.35,1.81,4/8/2022,15:30:00,-17.50318299,-149.9240371,263.63,861.28,3764.12,1683.01,5522.33,Papeto'ai,SW,Reef crest,Hauru,0.010619451273951,0.0299709334348582,0.00983605797070642,0.0145879496207885,0.0294057506174519,0.00666259899504086,0.674259112924931,0.763200269302928,0.86013468449414,1.87335961030302
112,2021,2021-May,,0.47,29.37,63.07,0.09,0.8,0.36,0.18,5/19/2021,15:46:00,-17.50348139,-149.920637,663.37,500.28,3515.03,1483.32,5315.06,Papeto'ai,SW,Mid lagoon,Hauru,0.011883483,0.047041759,0.009965793,0.013443111,0.027735305,0.030349325,1.348925403,0.450167478,0.704416741,1.599698321
112,2022,2022-April,,0.524731786,28.99701713,55.26,0.17,0.64,0.75,1.84,4/8/2022,15:00:00,-17.50348139,-149.920637,663.37,500.28,3515.03,1483.32,5315.06,Papeto'ai,SW,Mid lagoon,Hauru,0.00673847984413327,0.0204977856989263,0.00664455403850196,0.00760670409848599,0.0155403995390552,0.00864832954524846,0.873512884486261,1.0819425670355,1.09480570007747,1.83851773564433
113,2021,2021-May,,0.6,27.08,45.43,0.15,1.34,0.58,0.27,5/19/2021,16:16:00,-17.50287202,-149.91747,910.78,165.35,3309.62,1444.42,5106.02,Papeto'ai,SW,Fringing reef,Hauru,0.04039486,0.074733348,0.032449303,0.043587924,0.076568355,0.072177088,1.343262247,1.066925325,0.648218339,1.554198532
113,2022,2022-April,,0.588333752,27.62087718,46.95,0.13,0.97,0.91,1.61,4/8/2022,14:30:00,-17.50287202,-149.91747,910.78,165.35,3309.62,1444.42,5106.02,Papeto'ai,SW,Fringing reef,Hauru,0.01129432841699,0.0225938808867213,0.0118468388476185,0.0123919400702137,0.022576781704294,0.010130825241281,0.956011631793999,1.41858629147595,0.977984380053068,1.5149077386618
114,2021,2021-May,,0.5,30.13,60.35,0.11,0.69,0.24,0.43,5/24/2021,09:15:00,-17.4954558,-149.9235728,232.78,958.34,3218.99,2430.03,5024.24,Papeto'ai,SW,Reef crest,Hauru,0.006010234,0.043496637,0.005046322,0.00925567,0.014832471,0.004703268,1.834141817,0.545833698,0.704994323,1.827808633
114,2022,2022-April,,0.481957446,29.11656849,60.41,0.17,0.6,0.47,1.61,4/9/2022,15:42:00,-17.4954558,-149.9235728,232.78,958.34,3218.99,2430.03,5024.24,Papeto'ai,SW,Reef crest,Hauru,0.00871519480950789,0.0373044736433787,0.00937111834357118,0.0109347590560626,0.0513078921671392,0.0280089450750219,0.857002728228888,0.669908244729313,1.10711105599879,2.01070357830237
115,2021,2021-May,,0.61,29.16,47.89,0.12,0.67,0.25,0.51,5/24/2021,09:42:00,-17.49504173,-149.9197109,520.51,588.05,2829.94,2350.51,4633.42,Papeto'ai,SW,Mid lagoon,Hauru,0.007616536,0.027233498,0.007029305,0.009780938,0.029143497,0.000803451,1.391451696,0.468748025,0.875452149,1.621392729
115,2022,2022-April,,0.455307466,28.47061334,62.53,0.17,0.71,0.84,4.55,4/9/2022,15:11:00,-17.49504173,-149.9197109,520.51,588.05,2829.94,2350.51,4633.42,Papeto'ai,SW,Mid lagoon,Hauru,0.00787754877028688,0.0240644230752575,0.00882522340264162,0.0087121133428367,0.0139731165655125,0.0108632666115216,1.01298307946119,1.1897548466407,0.942070990340444,1.5601365404094
116,2021,2021-May,,0.71,26.67,37.64,0.08,0.72,0.28,0.19,5/24/2021,10:00:00,-17.49474971,-149.9146039,956.68,76.23,2351.61,2053.03,4146.16,Papeto'ai,SW,Fringing reef,Hauru,0.01168355,0.042121894,0.008560118,0.013179601,0.025630694,0.036677471,1.539651759,0.507361017,0.628220726,1.614643007
116,2022,2022-April,,0.550640135,28.88620027,52.46,0.13,0.7,0.79,1.58,4/8/2022,16:00:00,-17.49474971,-149.9146039,956.68,76.23,2351.61,2053.03,4146.16,Papeto'ai,SW,Fringing reef,Hauru,0.00910445503286773,0.0234586336596169,0.00959790561660538,0.0109697457599553,0.0198274215489028,0.021780815585791,0.874943305581631,1.31144033224177,1.07261238834946,1.87050794328124
117,2021,2021-May,,0.83,25.05,30.22,0.12,0.84,0.23,0.5,5/24/2021,10:24:00,-17.49064844,-149.9111011,700.66,245.27,1793.13,1485.53,3614.27,Papeto'ai,N,Fringing reef,Hauru,0.007908854,0.029572084,0.007001467,0.012011773,0.029674379,0.028319322,1.715608027,0.536997206,0.914394957,1.379848345
117,2022,2022-April,,0.648865085,26.94746562,41.53,0.19,0.7,0.5,1.61,4/16/2022,09:10:00,-17.49064844,-149.9111011,700.66,245.27,1793.13,1485.53,3614.27,Papeto'ai,N,Fringing reef,Hauru,0.009277491997217,0.0341847142754387,0.00844721134880834,0.0160346556124377,0.0289014573378154,0.0289867949449324,0.526809652354245,0.707516274973363,0.89568708312178,2.55522753052161
118,2021,2021-May,,0.88,25.9,29.27,0.12,0.94,0.23,0.58,5/24/2021,11:20:00,-17.48914783,-149.9067514,571.25,164.06,1301.02,1001.98,3141.51,Papeto'ai,N,Fringing reef,Hauru,0.009238407,0.040139055,0.008273523,0.011210954,0.023663861,0.006969954,1.355039929,0.523834889,0.790855362,1.650819405
118,2022,2022-April,,0.556746052,26.83644911,48.2,0.16,0.69,0.77,1.59,4/16/2022,10:30:00,-17.48914783,-149.9067514,571.25,164.06,1301.02,1001.98,3141.51,Papeto'ai,N,Fringing reef,Hauru,0.0132150105950021,0.0363747325384794,0.0157506733865495,0.0155822554554425,0.0419715611761364,0.0235905594236932,1.01080831536799,0.833207362141285,0.989627728747823,1.8305122359657
119,2021,2021-May,,0.61,27.65,45.02,0.12,0.71,0.17,0.5,5/24/2021,10:40:00,-17.48591677,-149.9077934,208.64,515.85,1318.34,1117.25,3301.52,Papeto'ai,N,Reef crest,Hauru,0.006849454,0.039269895,0.006801297,0.008614298,0.025385581,0.004969074,1.266566807,0.408746511,0.728307711,1.541489923
119,2022,2022-April,,0.521954376,27.64954497,52.97,0.13,0.73,0.7,1.97,4/16/2022,09:45:00,-17.48591677,-149.9077934,208.64,515.85,1318.34,1117.25,3301.52,Papeto'ai,N,Reef crest,Hauru,0.00485160447033421,0.0233317008328415,0.00450357840688509,0.00619018924246766,0.000646722929964691,0,0.727534850790729,1.54765523829043,0.786174348317758,1.44693774866765
12,2022,2022-April,,0.630087912,28.59701842,45.39,0.15,0.71,0.98,2.51,4/17/2022,10:30:00,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,0.0792797551268089,0.404917803269149,0.0615089681620034,0.118014415762033,0.540256483792714,0.242848650292673,0.521198768513429,0.292673411286791,1.04970797611305,2.20131546400415
120,2021,2021-May,,0.72,28.79,39.72,0.13,0.74,0.21,0.66,5/24/2021,11:42:00,-17.48790848,-149.9022525,462.37,334.59,809.34,513.05,2684.16,Papeto'ai,N,Mid lagoon,Hauru,0.007572919,0.037136046,0.007389487,0.010612123,0.023874413,0.017016354,1.436110863,0.632137961,0.722938949,1.598073088
120,2022,2022-April,,0.601965823,26.69617078,44.35,0.1,0.66,0.3,1.18,4/16/2022,11:00:00,-17.48790848,-149.9022525,462.37,334.59,809.34,513.05,2684.16,Papeto'ai,N,Mid lagoon,Hauru,0.00575587263845506,0.0271316589967208,0.00573033541563457,0.00732581348096959,0.011213569394538,0.0137528496557737,0.782211481430748,0.952079731895057,1.07533334753217,2.10953490712755
121,2021,2021-May,,0.62,28.65,46.19,0.15,0.99,0.26,0.49,5/24/2021,12:08:00,-17.48853084,-149.8968575,567.42,271.39,461.25,71.48,2105.03,Papeto'ai,N,Fringing reef,Hauru,0.010429239,0.05265355,0.011452229,0.01216206,0.027206995,0.016001454,1.06198194,0.497348142,0.700929577,1.659342709
121,2022,2022-April,,0.498978856,26.52764736,53.16,0.13,0.61,0.55,0.97,4/16/2022,11:35:00,-17.48853084,-149.8968575,567.42,271.39,461.25,71.48,2105.03,Papeto'ai,N,Fringing reef,Hauru,0.133426248822209,0.468864164042998,0.102021484369478,0.183632155898094,0.47175020405476,0.209256163039155,0.555575268778603,0.809613292862042,0.970546293950406,2.10125304672336
122,2021,2021-May,,0.69,28.7,41.3,0.11,0.78,0.21,0.48,5/24/2021,12:32:00,-17.48485495,-149.8962351,162.06,576.72,88.94,274.81,2147.15,Papeto'ai,N,Reef pass,Hauru,0.007825533,0.037585468,0.006602065,0.010537625,0.020348492,0,1.596110472,0.470870119,0.677318605,1.413727749
123,2021,2021-May,,0.53,30.41,56.85,0.14,0.78,0.34,0.53,5/24/2021,13:15:00,-17.48842556,-149.8921487,589.92,246.37,498.76,204.62,1620.02,Papeto'ai,N,Fringing reef,Papetoai,0.009972702,0.047120338,0.009397264,0.012913062,0.032871406,0.005977369,1.374129994,0.481278881,0.955612025,1.361992011
123,2022,2022-April,,0.507426312,29.54051989,58.22,0.15,0.64,0.97,1.13,4/12/2022,15:26:00,-17.48842556,-149.8921487,589.92,246.37,498.76,204.62,1620.02,Papeto'ai,N,Fringing reef,Papetoai,0.0114877365755526,0.107269644509788,0.0113077796844806,0.0162081703993529,0.0367586312262486,0.0180047012495044,0.697659230244276,0.519713003771137,0.815508003807255,2.35786928812642
125,2021,2021-May,,0.7,29.43,42.16,0.15,0.81,0.67,0.97,5/25/2021,10:07:00,-17.49019641,-149.8826645,789.48,137.46,1347.58,371.65,592.26,Papeto'ai,N,Fringing reef,Papetoai,0.013724291,0.041342767,0.013208379,0.016531322,0.034548065,0.015392199,1.251578358,0.77608184,0.732521212,1.757806274
126,2021,2021-May,,0.6,28.33,46.9,0.06,1.74,0.61,0.39,5/24/2021,15:54:00,-17.49179923,-149.8794897,1027.4,62.52,1688.39,64.06,236.37,Papeto'ai,N,Fringing reef,Papetoai,0.030173228,0.053422034,0.02695547,0.033315831,0.043397428,0.031305404,1.235958083,1.159500623,0.67008421,1.628360567
126,2022,2022-April,,0.565732033,29.12156975,51.48,0.07,1.12,0.67,0.84,4/12/2022,13:23:00,-17.49179923,-149.8794897,1027.4,62.52,1688.39,64.06,236.37,Papeto'ai,N,Fringing reef,Papetoai,0.0258961647137017,0.041320067353212,0.0262962825146757,0.0318444899316847,0.0445337018347478,0.0402720093248538,0.825771823354325,1.26197615738235,0.800491764401465,1.8625930421819
126,2022,2022-April,,0.565732033,29.12156975,51.48,0.09,0.68,1,1.87,4/12/2022,13:23:00,-17.49179923,-149.8794897,1027.4,62.52,1688.39,64.06,236.37,Papeto'ai,N,Fringing reef,Papetoai,0.0258961647137017,0.041320067353212,0.0262962825146757,0.0318444899316847,0.0445337018347478,0.0402720093248538,0.825771823354325,1.26197615738235,0.800491764401465,1.8625930421819
127,2021,2021-May,,0.47,29.99,63.8,0.15,0.8,0.41,0.74,5/24/2021,15:26:00,-17.4889724,-149.8789846,711.98,332.71,1598.83,149.81,344.49,Papeto'ai,N,Fringing reef,Papetoai,0.01206284,0.042413911,0.01062782,0.015733178,0.039609848,0.011100291,1.480376816,0.582528071,0.820828524,1.607052241
127,2022,2022-April,,0.463682371,28.88083046,62.29,0.15,0.69,1.01,1.15,4/12/2022,12:21:00,-17.4889724,-149.8789846,711.98,332.71,1598.83,149.81,344.49,Papeto'ai,N,Fringing reef,Papetoai,0.0125949319832429,0.0393148356962047,0.0125785767012378,0.019381529599469,0.0401093307978884,0.0179053975788561,0.648998142106512,0.604854960060937,0.93712394247678,2.03079418549581
128,2021,2021-May,,0.67,27.34,40.98,0.13,0.79,0.35,0.59,5/25/2021,11:18:00,-17.48683493,-149.8765044,467.62,505.09,1302.48,25.82,505.09,Papeto'ai,N,Fringing reef,Papetoai,0.007069253,0.006146779,0.006750958,0.008671181,0.009836316,0.001476772,1.284437194,0.628646499,0.671445458,1.668157621
128,2022,2022-April,,0.433714976,29.0588856,67,0.17,0.79,1.12,1.49,4/12/2022,11:47:00,-17.48683493,-149.8765044,467.62,505.09,1302.48,25.82,505.09,Papeto'ai,N,Fringing reef,Papetoai,0.0215665096936728,0.0531437769995768,0.0210190443083778,0.0297800943454166,0.0554505240891049,0.0417864869115635,0.705808519764235,0.888249369543332,0.839390184879735,2.01645319244387
129,2021,2021-May,,0.63,29.21,46.09,0.09,1.22,0.19,0.71,5/25/2021,12:12:00,-17.48972761,-149.8726504,618.38,232.22,930.83,65.99,232.22,Papeto'ai,N,Fringing reef,Papetoai,0.017850163,0.018975541,0.016496357,0.01936651,0.016455325,0.01743927,1.173987047,1.529565665,0.68191258,1.638806706
13,2021,2021-May,,0.66,24.85,37.36,0.22,1.31,0.34,0.5,5/20/2021,09:51:00,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.015713354,0.023335802,0.015649104,0.019328792,0.03645152,0.019975474,1.235137308,1.120305724,0.875977013,1.643854131
13,2022,2022-April,,0.685713339,26.19071801,38.19,0.11,1.29,0.38,0.1,4/7/2022,14:40:00,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.0130682657693825,0.016288766463455,0.0120486618441997,0.0142543304645001,0,0,0.845263260467154,3.44270145227067,0.722030084247621,2.04759176102002
130,2021,2021-May,,0.73,29.49,40.14,0.14,0.79,0.4,0.5,5/25/2021,11:40:00,-17.48467089,-149.8742172,178.36,785.64,1132.02,181.12,785.64,Papeto'ai,N,Reef crest,Papetoai,0.008082255,0.005553506,0.006350211,0.009770464,0.01500449,0,1.538604717,0.562113359,0.686343302,1.522846676
130,2022,2022-April,,0.607431054,28.25592943,46.52,0.13,0.96,0.93,0.99,4/16/2022,14:25:00,-17.48467089,-149.8742172,178.36,785.64,1132.02,181.12,785.64,Papeto'ai,N,Reef crest,Papetoai,0.0100065724068015,0.0368778716377712,0.0110828734982202,0.0109650574360609,0.0355494310547481,0.00787047436242403,1.010744682629,0.669054858610355,1.07924411205633,1.87980240532111
131,2021,2021-May,,0.93,29.19,31.38,0.12,1.18,0.33,0.49,5/25/2021,14:50:00,-17.48809573,-149.8667564,194.81,590.75,292.46,125.36,590.75,Papeto'ai,N,Reef pass,Papetoai,0.010482191,0.002667242,0.009421961,0.012776422,0.012238532,0.007596906,1.356025678,0.646966181,0.777407489,1.586807386
131,2022,2022-April,,0.647437133,29.32407446,45.29,0.12,1,0.55,0.44,4/16/2022,15:00:00,-17.48809573,-149.8667564,194.81,590.75,292.46,125.36,590.75,Papeto'ai,N,Reef pass,Papetoai,0.00734265676282443,0.0188127938056167,0.00801873957211581,0.00839224255569961,0.00800397938544446,0.00397501899493371,0.955494257809537,1.30583252321769,0.916001416322507,1.79883710672144
132,2021,2021-May,,0.7,28.71,40.9,0.14,0.97,0.4,0.55,5/25/2021,12:59:00,-17.48744111,-149.8709693,312.65,471.46,718.44,75.03,471.46,Papeto'ai,N,Reef crest,Papetoai,0.011627065,0.01176533,0.010146294,0.014497577,0.019035847,0.023280558,1.428854465,0.749380525,0.734437544,1.582921452
132,2022,2022-April,,0.567332273,29.10741536,51.31,0.14,0.92,0.97,0.84,4/10/2022,14:29:00,-17.48744111,-149.8709693,312.65,471.46,718.44,75.03,471.46,Papeto'ai,N,Reef crest,Papetoai,0.0123862204722077,0.033629769059243,0.0119912095609738,0.0186763077339182,0.0446269359644549,0.0209681098883733,0.642054614424483,0.663503599593585,0.860192292656089,2.00741907098288
133,2021,2021-May,,0.69,30.36,43.96,0.08,0.87,0.36,0.24,5/24/2021,14:15:00,-17.49028584,-149.8868992,754.27,111.65,983.86,393.95,1035.51,Papeto'ai,N,Fringing reef,Papetoai,0.012651532,0,0.010711319,0.01450064,0.015558964,0.009996005,1.353767917,1.236364885,0.73352334,1.699693486
133,2022,2022-April,,0.601605399,28.74031045,47.77,0.12,0.77,0.71,1.2,4/16/2022,12:15:00,-17.49028584,-149.8868992,754.27,111.65,983.86,393.95,1035.51,Papeto'ai,N,Fringing reef,Papetoai,0.00848840113721992,0.0330925437401168,0.00773219915621744,0.0114695872624805,0.0238377738094444,0.0053027541486386,0.674147986258506,0.618703892492019,0.799857405067921,2.09383651435884
