Site,Jan2016,May2016,July2016,July2019,Aug2020,May2021,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,UniqueID,JP5_normalized,Diesel_Chen,sample.x,run_name,project,run_order,sample.y,group,Samplepath,Blank1,Blank2,abs,Sample_ID.x,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes,Sample_ID.y,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio,index_name,index_value
108,Yes,Yes,Yes,Yes,,Yes,-17.51272805,-149.9225916,258.82,785.58,3303.05,909.58,6321.8,Papeto'ai,SW,Reef crest,Hauru,108_run3_34,0.113343623119871,3.04218083053606,Group005Sample0006,aroundtheisland_run3,ati,34,aroundtheisland_run3/Group005Sample0006,Group005,aroundtheisland_run3/Group005Sample0006SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0006ABS.dat,108,0.16,0.68,0.27,1.13,"",108,4/8/2022,2219,29.98425178,4.526394561,0.578788906,51.81,CobleA,0.0052204754763522
109,Yes,Yes,Yes,,,Yes,-17.51138762,-149.919454,610.92,455.41,3331.71,695.42,6059.83,Papeto'ai,SW,Mid lagoon,Hauru,109_run3_35,0.117382279704863,4.86225845383806,Group005Sample0007,aroundtheisland_run3,ati,35,aroundtheisland_run3/Group005Sample0007,Group005,aroundtheisland_run3/Group005Sample0007SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0007ABS.dat,109,0.15,0.64,0.32,1.81,"",109,4/8/2022,2663,29.1372198,4.41907696,0.623564107,46.73,CobleA,0.00679541014948674
11,Yes,Yes,Yes,,Yes,Yes,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,11_run2_4,0.136968334658679,7.27421732593272,Group001Sample0004,aroundtheisland_run2,ati,4,aroundtheisland_run2/Group001Sample0004,Group001,aroundtheisland_run2/Group001Sample0004SEM.dat,aroundtheisland_run2/Group001Sample0001BEM.dat,aroundtheisland_run2/Group002Sample0001BEM.dat,aroundtheisland_run2/Group001Sample0004ABS.dat,11,0.15,1.05,0.38,1.03,"",11,4/12/2022,2298,26.53570267,3.474342567,0.702871093,37.75,CobleA,0.0157990383707601
110,Yes,,Yes,,Yes,Yes,-17.51055999,-149.9159157,999.08,71.88,3315.84,573.06,5907.78,Papeto'ai,SW,Fringing reef,Hauru,110_run3_36,0.0862423649901918,3.96644969726385,Group006Sample0001,aroundtheisland_run3,ati,36,aroundtheisland_run3/Group006Sample0001,Group006,aroundtheisland_run3/Group006Sample0001SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001ABS.dat,110,0.15,0.64,0.35,1.28,"",110,4/8/2022,2128,29.04143612,4.378237569,0.62182883,46.7,CobleA,0.00792209514078041
111,Yes,Yes,Yes,Yes,Yes,Yes,-17.50318299,-149.9240371,263.63,861.28,3764.12,1683.01,5522.33,Papeto'ai,SW,Reef crest,Hauru,111_run3_37,0.109693239304189,5.81554945928705,Group006Sample0002,aroundtheisland_run3,ati,37,aroundtheisland_run3/Group006Sample0002,Group006,aroundtheisland_run3/Group006Sample0002SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0002ABS.dat,111,0.12,0.66,0.35,1.81,"",111,4/8/2022,2323,29.44354162,4.506412624,0.463522893,63.52,CobleA,0.010619451273951
112,Yes,Yes,Yes,Yes,Yes,Yes,-17.50348139,-149.920637,663.37,500.28,3515.03,1483.32,5315.06,Papeto'ai,SW,Mid lagoon,Hauru,112_run3_38,0.100534571607983,3.42814916912282,Group006Sample0003,aroundtheisland_run3,ati,38,aroundtheisland_run3/Group006Sample0003,Group006,aroundtheisland_run3/Group006Sample0003SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0003ABS.dat,112,0.17,0.64,0.75,1.84,"",112,4/8/2022,2769,28.99701713,4.386926759,0.524731786,55.26,CobleA,0.00673847984413327
113,Yes,Yes,Yes,Yes,Yes,Yes,-17.50287202,-149.91747,910.78,165.35,3309.62,1444.42,5106.02,Papeto'ai,SW,Fringing reef,Hauru,113_run3_39,0.0744800835062518,4.71727014288299,Group006Sample0004,aroundtheisland_run3,ati,39,aroundtheisland_run3/Group006Sample0004,Group006,aroundtheisland_run3/Group006Sample0004SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0004ABS.dat,113,0.13,0.97,0.91,1.61,"",113,4/8/2022,2183,27.62087718,4.029339883,0.588333752,46.95,CobleA,0.01129432841699
114,Yes,Yes,Yes,Yes,Yes,Yes,-17.4954558,-149.9235728,232.78,958.34,3218.99,2430.03,5024.24,Papeto'ai,SW,Reef crest,Hauru,114_run3_40,0.143298917566691,6.95882726670903,Group006Sample0005,aroundtheisland_run3,ati,40,aroundtheisland_run3/Group006Sample0005,Group006,aroundtheisland_run3/Group006Sample0005SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0005ABS.dat,114,0.17,0.6,0.47,1.61,"",114,4/9/2022,2934,29.11656849,4.448749528,0.481957446,60.41,CobleA,0.00871519480950789
115,Yes,Yes,Yes,,Yes,Yes,-17.49504173,-149.9197109,520.51,588.05,2829.94,2350.51,4633.42,Papeto'ai,SW,Mid lagoon,Hauru,115_run3_41,0.0778717049027319,3.93246483736754,Group006Sample0006,aroundtheisland_run3,ati,41,aroundtheisland_run3/Group006Sample0006,Group006,aroundtheisland_run3/Group006Sample0006SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0006ABS.dat,115,0.17,0.71,0.84,4.55,"",115,4/9/2022,2023,28.47061334,4.385037171,0.455307466,62.53,CobleA,0.00787754877028688
116,Yes,Yes,Yes,,Yes,Yes,-17.49474971,-149.9146039,956.68,76.23,2351.61,2053.03,4146.16,Papeto'ai,SW,Fringing reef,Hauru,116_run3_42,0.0889907276520198,4.12413705178075,Group006Sample0007,aroundtheisland_run3,ati,42,aroundtheisland_run3/Group006Sample0007,Group006,aroundtheisland_run3/Group006Sample0007SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0007ABS.dat,116,0.13,0.7,0.79,1.58,"",116,4/8/2022,2642,28.88620027,4.006083131,0.550640135,52.46,CobleA,0.00910445503286773
117,Yes,Yes,Yes,,Yes,Yes,-17.49064844,-149.9111011,700.66,245.27,1793.13,1485.53,3614.27,Papeto'ai,N,Fringing reef,Hauru,117_run7_21,0.111491796137185,5.77400559391326,Group003Sample0007,aroundtheisland_run7,ati,21,aroundtheisland_run7/Group003Sample0007,Group003,aroundtheisland_run7/Group003Sample0007SEM.dat,aroundtheisland_run7/Group003Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group003Sample0007ABS.dat,117,0.19,0.7,0.5,1.61,"",117,4/16/2022,2182,26.94746562,3.677703189,0.648865085,41.53,CobleA,0.009277491997217
118,Yes,Yes,Yes,Yes,Yes,Yes,-17.48914783,-149.9067514,571.25,164.06,1301.02,1001.98,3141.51,Papeto'ai,N,Fringing reef,Hauru,118_run7_22,0.120434904488981,7.59523351615348,Group004Sample0001,aroundtheisland_run7,ati,22,aroundtheisland_run7/Group004Sample0001,Group004,aroundtheisland_run7/Group004Sample0001SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0001ABS.dat,118,0.16,0.69,0.77,1.59,"",118,4/16/2022,2823,26.83644911,3.614276891,0.556746052,48.2,CobleA,0.0132150105950021
119,Yes,Yes,Yes,Yes,Yes,Yes,-17.48591677,-149.9077934,208.64,515.85,1318.34,1117.25,3301.52,Papeto'ai,N,Reef crest,Hauru,119_run7_23,0.0596505005657416,2.23434294922091,Group004Sample0002,aroundtheisland_run7,ati,23,aroundtheisland_run7/Group004Sample0002,Group004,aroundtheisland_run7/Group004Sample0002SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0002ABS.dat,119,0.13,0.73,0.7,1.97,"",119,4/16/2022,2613,27.64954497,3.784495405,0.521954376,52.97,CobleA,0.00485160447033421
12,Yes,Yes,Yes,,Yes,,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,12_run6_1,0.232578559264265,67.3639403490209,Group001Sample0001,aroundtheisland_run6,ati,1,aroundtheisland_run6/Group001Sample0001,Group001,aroundtheisland_run6/Group001Sample0001SEM.dat,aroundtheisland_run6/Group001Sample0001BEM.dat,aroundtheisland_run6/Group002Sample0001BEM.dat,aroundtheisland_run6/Group001Sample0001ABS.dat,12,0.15,0.71,0.98,2.51,"",12,4/17/2022,2360,28.59701842,3.904737248,0.630087912,45.39,CobleA,0.0792797551268089
120,Yes,Yes,Yes,Yes,Yes,Yes,-17.48790848,-149.9022525,462.37,334.59,809.34,513.05,2684.16,Papeto'ai,N,Mid lagoon,Hauru,120_run7_24,0.0874991461112169,3.54913844998103,Group004Sample0003,aroundtheisland_run7,ati,24,aroundtheisland_run7/Group004Sample0003,Group004,aroundtheisland_run7/Group004Sample0003SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0003ABS.dat,120,0.1,0.66,0.3,1.18,"",120,4/16/2022,2352,26.69617078,3.665922365,0.601965823,44.35,CobleA,0.00575587263845506
121,Yes,Yes,Yes,,Yes,Yes,-17.48853084,-149.8968575,567.42,271.39,461.25,71.48,2105.03,Papeto'ai,N,Fringing reef,Hauru,121_run7_25,0.150181204652637,65.3335614333161,Group004Sample0004,aroundtheisland_run7,ati,25,aroundtheisland_run7/Group004Sample0004,Group004,aroundtheisland_run7/Group004Sample0004SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0004ABS.dat,121,0.13,0.61,0.55,0.97,"",121,4/16/2022,2473,26.52764736,3.555679971,0.498978856,53.16,CobleA,0.133426248822209
123,Yes,Yes,Yes,Yes,Yes,Yes,-17.48842556,-149.8921487,589.92,246.37,498.76,204.62,1620.02,Papeto'ai,N,Fringing reef,Papetoai,123_run3_43,0.171544350627073,8.48153900120597,Group007Sample0001,aroundtheisland_run3,ati,43,aroundtheisland_run3/Group007Sample0001,Group007,aroundtheisland_run3/Group007Sample0001SEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group001Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001ABS.dat,123,0.15,0.64,0.97,1.13,"",123,4/12/2022,2867,29.54051989,4.278860897,0.507426312,58.22,CobleA,0.0114877365755526
126,,Yes,,,Yes,Yes,-17.49179923,-149.8794897,1027.4,62.52,1688.39,64.06,236.37,Papeto'ai,N,Fringing reef,Papetoai,126_run4_1,0.0704582874669748,10.2884026418812,Group001Sample0001,aroundtheisland_run4,ati,1,aroundtheisland_run4/Group001Sample0001,Group001,aroundtheisland_run4/Group001Sample0001SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0001ABS.dat,126 NEW,0.09,0.68,1,1.87,"",126,4/12/2022,2296,29.12156975,4.087897825,0.565732033,51.48,CobleA,0.0258961647137017
127,Yes,Yes,Yes,,Yes,Yes,-17.4889724,-149.8789846,711.98,332.71,1598.83,149.81,344.49,Papeto'ai,N,Fringing reef,Papetoai,127_run4_3,0.114895803515583,7.77977882332668,Group001Sample0003,aroundtheisland_run4,ati,3,aroundtheisland_run4/Group001Sample0003,Group001,aroundtheisland_run4/Group001Sample0003SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0003ABS.dat,127,0.15,0.69,1.01,1.15,"",127,4/12/2022,2129,28.88083046,4.096553107,0.463682371,62.29,CobleA,0.0125949319832429
128,Yes,Yes,,Yes,Yes,Yes,-17.48683493,-149.8765044,467.62,505.09,1302.48,25.82,505.09,Papeto'ai,N,Fringing reef,Papetoai,128_run4_4,0.0976062554918984,10.8484296504502,Group001Sample0004,aroundtheisland_run4,ati,4,aroundtheisland_run4/Group001Sample0004,Group001,aroundtheisland_run4/Group001Sample0004SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0004ABS.dat,128,0.17,0.79,1.12,1.49,"",128,4/12/2022,2336,29.0588856,4.063898078,0.433714976,67,CobleA,0.0215665096936728
13,Yes,Yes,Yes,,Yes,Yes,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,13_run2_5,0.0188247962793681,2.51908669337744,Group001Sample0005,aroundtheisland_run2,ati,5,aroundtheisland_run2/Group001Sample0005,Group001,aroundtheisland_run2/Group001Sample0005SEM.dat,aroundtheisland_run2/Group001Sample0001BEM.dat,aroundtheisland_run2/Group002Sample0001BEM.dat,aroundtheisland_run2/Group001Sample0005ABS.dat,13,0.11,1.29,0.38,0.1,"",13,4/7/2022,2692,26.19071801,3.524422688,0.685713339,38.19,CobleA,0.0130682657693825
130,Yes,Yes,Yes,Yes,Yes,Yes,-17.48467089,-149.8742172,178.36,785.64,1132.02,181.12,785.64,Papeto'ai,N,Reef crest,Papetoai,130_run7_26,0.132478416480682,6.17481994725307,Group004Sample0005,aroundtheisland_run7,ati,26,aroundtheisland_run7/Group004Sample0005,Group004,aroundtheisland_run7/Group004Sample0005SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0005ABS.dat,130,0.13,0.96,0.93,0.99,"",130,4/16/2022,2117,28.25592943,3.858298707,0.607431054,46.52,CobleA,0.0100065724068015
131,Yes,Yes,Yes,Yes,Yes,Yes,-17.48809573,-149.8667564,194.81,590.75,292.46,125.36,590.75,Papeto'ai,N,Reef pass,Papetoai,131_run7_27,0.0650862447079263,3.11446837385591,Group004Sample0006,aroundtheisland_run7,ati,27,aroundtheisland_run7/Group004Sample0006,Group004,aroundtheisland_run7/Group004Sample0006SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0006ABS.dat,131,0.12,1,0.55,0.44,"",131,4/16/2022,2247,29.32407446,4.061838254,0.647437133,45.29,CobleA,0.00734265676282443
132,Yes,Yes,Yes,Yes,Yes,Yes,-17.48744111,-149.8709693,312.65,471.46,718.44,75.03,471.46,Papeto'ai,N,Reef crest,Papetoai,132_run4_5,0.115571559777721,7.56124350045135,Group001Sample0005,aroundtheisland_run4,ati,5,aroundtheisland_run4/Group001Sample0005,Group001,aroundtheisland_run4/Group001Sample0005SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0005ABS.dat,132,0.14,0.92,0.97,0.84,"",132,4/10/2022,2404,29.10741536,4.014637492,0.567332273,51.31,CobleA,0.0123862204722077
133,Yes,Yes,,Yes,Yes,Yes,-17.49028584,-149.8868992,754.27,111.65,983.86,393.95,1035.51,Papeto'ai,N,Fringing reef,Papetoai,133_run7_28,0.114965654575755,5.13559788855047,Group004Sample0007,aroundtheisland_run7,ati,28,aroundtheisland_run7/Group004Sample0007,Group004,aroundtheisland_run7/Group004Sample0007SEM.dat,aroundtheisland_run7/Group004Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group004Sample0007ABS.dat,133,0.12,0.77,0.71,1.2,"",133,4/16/2022,2375,28.74031045,3.973172009,0.601605399,47.77,CobleA,0.00848840113721992
134,Yes,Yes,Yes,Yes,Yes,Yes,-17.48732954,-149.8870074,434.55,409.14,792.36,489.87,1132.5,Papeto'ai,N,Fringing reef,Papetoai,134_run4_6,0.113552843505127,6.87470729575478,Group001Sample0006,aroundtheisland_run4,ati,6,aroundtheisland_run4/Group001Sample0006,Group001,aroundtheisland_run4/Group001Sample0006SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0006ABS.dat,134,0.14,0.7,1.05,1.11,"",134,4/12/2022,2531,29.40706754,4.123238808,0.518336608,56.73,CobleA,0.0114096958300729
135,Yes,,Yes,,Yes,,-17.48452814,-149.8861285,127.01,774.32,810.33,704.34,1222.04,Papeto'ai,N,Reef crest,Papetoai,135_run7_29,0.242803632544454,13.9849032050766,Group005Sample0001,aroundtheisland_run7,ati,29,aroundtheisland_run7/Group005Sample0001,Group005,aroundtheisland_run7/Group005Sample0001SEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001BEM.dat,aroundtheisland_run7/Group005Sample0001ABS.dat,135,0.11,0.71,0.74,0.9,"",135,4/16/2022,2129,27.92034222,3.810569895,0.680295004,41.04,CobleA,0.0135004825470263
136,Yes,Yes,Yes,,Yes,Yes,-17.48690316,-149.8805744,448.87,564.85,1430.61,430.75,633.57,Papeto'ai,N,Mid lagoon,Papetoai,136_run4_7,0.125568202802559,19.6433128847147,Group001Sample0007,aroundtheisland_run4,ati,7,aroundtheisland_run4/Group001Sample0007,Group001,aroundtheisland_run4/Group001Sample0007SEM.dat,aroundtheisland_run4/Group001Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group001Sample0007ABS.dat,136,0.12,0.7,0.96,0.94,"",136,4/12/2022,2838,29.06034656,4.08726687,0.474839118,61.2,CobleA,0.0403736501048514
137,Yes,,,,Yes,Yes,-17.48379691,-149.8798111,122.05,900.74,1472.11,471.23,901.66,Papeto'ai,N,Reef crest,Papetoai,137_run8_9,0.0297559271155564,3.2708666959095,Group002Sample0002,aroundtheisland_run8,ati,9,aroundtheisland_run8/Group002Sample0002,Group002,aroundtheisland_run8/Group002Sample0002SEM.dat,aroundtheisland_run8/Group002Sample0001BEM.dat,aroundtheisland_run8/Group003Sample0001BEM.dat,aroundtheisland_run8/Group002Sample0002ABS.dat,137,0.14,0.85,0.75,1,"",137,4/16/2022,2484,27.6681641,3.83027301,0.61856215,44.73,CobleA,0.0160791303145184
138,,,Yes,,Yes,Yes,-17.49209605,-149.8746473,945.32,36.46,1202.92,308.87,36.46,Papeto'ai,N,Fringing reef,Papetoai,138_run4_8,0.088609740856459,7.19283281727747,Group002Sample0001,aroundtheisland_run4,ati,8,aroundtheisland_run4/Group002Sample0001,Group002,aroundtheisland_run4/Group002Sample0001SEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group003Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0001ABS.dat,138,0.11,1.01,0.83,1.09,"",138,4/12/2022,2697,29.65128408,4.299836363,0.597728723,49.61,CobleA,0.0139641869051102
139,Yes,Yes,,,Yes,Yes,-17.49065096,-149.8681188,507.66,284.82,490.05,30.47,284.82,Papeto'ai,N,Fringing reef,Papetoai,139_run4_9,0.0925613277519594,8.50117678382847,Group002Sample0002,aroundtheisland_run4,ati,9,aroundtheisland_run4/Group002Sample0002,Group002,aroundtheisland_run4/Group002Sample0002SEM.dat,aroundtheisland_run4/Group002Sample0001BEM.dat,aroundtheisland_run4/Group003Sample0001BEM.dat,aroundtheisland_run4/Group002Sample0002ABS.dat,139,0.14,0.89,0.78,1.72,"",139,4/10/2022,2288,28.22846429,3.931856012,0.660541835,42.74,CobleA,0.0190837195632772
