Loaded	collection	date	UniqueID	sample	count	notes
1	CSpringBeach	3_31_22	CSpringBeach_3_31_22	2	65	Non-standard time format
2	CPit_H	3_30_1900	CPit_H_3_30_1900	3	66	
1	CReefcrest_B	3_29_0700	CReefcrest_B_3_29_0700	4	67	
2	C15_L_N	3_30_1900	C15_L_N_3_30_1900	5	68	
1	C09_H_N	3_31_0100	C09_H_N_3_31_0100	6	69	
2	C02_H_D	3_30_1300	C02_H_D_3_30_1300	7	70	
1	BLANK11		BLANK11_			
2	C_SeepA	3_30_0400	C_SeepA_3_30_0400	1	71	
1	C13_H_N	3_31_0100	C13_H_N_3_31_0100	2	72	
2	C03_L_N	3_30_1900	C03_L_N_3_30_1900	3	73	
1	C09_L_D	3_30_0700	C09_L_D_3_30_0700	4	74	
2	C15_H_D	3_30_1300	C15_H_D_3_30_1300	5	75	
1	C14_L_N	3_30_1900	C14_L_N_3_30_1900	6	76	
2	C07_L_N	3_30_1900	C07_L_N_3_30_1900	7	77	
1	BLANK12		BLANK12_			
2	C05_L_D	3_30_0700	C05_L_D_3_30_0700	1	78	
1	C11_L_D	3_30_0700	C11_L_D_3_30_0700	2	79	
2	C16_L_N	3_30_1900	C16_L_N_3_30_1900	3	80	
1	C20_H_N	3_31_0100	C20_H_N_3_31_0100	4	81	
2	C19_L_N	3_30_1900	C19_L_N_3_30_1900	5	82	
1	C20_H_D	3_30_1300	C20_H_D_3_30_1300	6	83	
2	C05_H_N	3_31_0100	C05_H_N_3_31_0100	7	84	
1	BLANK13		BLANK13_			
2	C08_L_N	3_30_1900	C08_L_N_3_30_1900	1	85	
1	C14_H_N	3_31_0100	C14_H_N_3_31_0100	2	86	
2	C09_L_N	3_30_1900	C09_L_N_3_30_1900	3	87	
1	C17_L_N	3_30_1900	C17_L_N_3_30_1900	4	88	
2	C07_L_D	3_30_0700	C07_L_D_3_30_0700	5	89	
1	C18_L_N	3_30_1900	C18_L_N_3_30_1900	6	90	
2	C11_L_N	3_30_1900	C11_L_N_3_30_1900	7	91	
1	BLANK14		BLANK14_			
2	C03_H_N	3_31_0100	C03_H_N_3_31_0100	1	92	
1	C02_L_N	3_30_1900	C02_L_N_3_30_1900	2	93	
2	CSeepH	3_31_0100	CSeepH_3_31_0100	3	94	
1	C04_H_N	3_31_0100	C04_H_N_3_31_0100	4	95	
2	empty	NA	empty_NA	5	96	
